city,neighbourhood,room_type,property_type,actual_price,predicted_price,potential_uplift_per_night,estimated_uplift,mispricing_pct
Austin,78705,Entire home/apt,Apartment,68.0,129.57413,61.574127197265625,3694.4476318359375,-0.47520387386846324
New York,Chelsea,Entire home/apt,Apartment,193.0,254.40024,61.400238037109375,3684.0142822265625,-0.2413529111091198
Washington D.C.,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",Entire home/apt,Apartment,70.0,131.34627,61.34626770019531,3680.7760620117188,-0.4670575629923597
Austin,78703,Entire home/apt,Apartment,140.0,201.31404,61.31404113769531,3678.8424682617188,-0.3045691238981069
San Francisco,Excelsior,Entire home/apt,Apartment,136.0,197.16362,61.16361999511719,3669.8171997070312,-0.3102175746044423
Washington D.C.,"Georgetown, Burleith/Hillandale",Entire home/apt,Apartment,105.0,166.1524,61.15240478515625,3669.144287109375,-0.36805007345051377
New York,Harlem,Entire home/apt,Apartment,85.0,146.15088,61.15087890625,3669.052734375,-0.41840924504789234
Austin,78721,Entire home/apt,Apartment,50.0,111.08322,61.083221435546875,3664.9932861328125,-0.549887018454797
San Francisco,Marina,Entire home/apt,Apartment,161.0,222.07039,61.07038879394531,3664.2233276367188,-0.2750046466150483
New York,Carroll Gardens,Entire home/apt,Apartment,160.0,221.04906,61.04905700683594,3662.9434204101562,-0.2761787715065801
Seattle,Seward Park,Entire home/apt,House,150.0,211.0424,61.04240417480469,3662.5442504882812,-0.28924236536010917
Washington D.C.,"Union Station, Stanton Park, Kingman Park",Entire home/apt,Apartment,92.0,152.91812,60.918121337890625,3655.0872802734375,-0.39837084581548615
Seattle,Central Business District,Entire home/apt,Apartment,129.0,189.74828,60.74827575683594,3644.8965454101562,-0.3201519250413921
San Francisco,Castro/Upper Market,Private room,Apartment,103.0,163.66354,60.663543701171875,3639.8126220703125,-0.37066008916399573
Boston,Chinatown,Entire home/apt,Apartment,199.0,259.63733,60.6373291015625,3638.23974609375,-0.23354626744693927
Austin,78729,Entire home/apt,Apartment,40.0,100.616875,60.61687469482422,3637.012481689453,-0.6024523707248719
Asheville,28804,Entire home/apt,Apartment,111.0,171.36098,60.36097717285156,3621.6586303710938,-0.3522445901552343
New York,Financial District,Private room,Apartment,80.0,140.28969,60.28968811035156,3617.3812866210938,-0.4297513874500015
New York,Theater District,Entire home/apt,Apartment,240.0,300.06808,60.068084716796875,3604.0850830078125,-0.2001815180494417
Washington D.C.,"Shaw, Logan Circle",Entire home/apt,Apartment,130.0,190.0474,60.047393798828125,3602.8436279296875,-0.3159601013123622
New York,Chelsea,Entire home/apt,Apartment,145.0,204.94106,59.94105529785156,3596.4633178710938,-0.2924794898256774
Asheville,28804,Entire home/apt,Apartment,50.0,109.860535,59.86053466796875,3591.632080078125,-0.5448775108266596
New York,East Village,Entire home/apt,Apartment,118.0,177.72942,59.72941589355469,3583.7649536132812,-0.33606938723822566
Austin,78748,Entire home/apt,Apartment,236.0,295.66403,59.664031982421875,3579.8419189453125,-0.20179672035984778
New York,Flatbush,Entire home/apt,Apartment,109.0,168.65074,59.65074157714844,3579.0444946289062,-0.3536939180896605
Austin,78701,Entire home/apt,Apartment,257.0,316.59485,59.5948486328125,3575.69091796875,-0.18823694981193695
San Francisco,West of Twin Peaks,Entire home/apt,Apartment,100.0,159.58174,59.58174133300781,3574.9044799804688,-0.3733618948841734
San Francisco,Bernal Heights,Entire home/apt,Apartment,123.0,182.5748,59.574798583984375,3574.4879150390625,-0.3263035153046053
New York,Midtown,Entire home/apt,Apartment,95.0,154.54485,59.54484558105469,3572.6907348632812,-0.3852916954763463
New York,Clinton Hill,Private room,Apartment,36.0,95.44442,59.444419860839844,3566.6651916503906,-0.6228171321855293
New York,Harlem,Entire home/apt,Apartment,120.0,179.42873,59.42872619628906,3565.7235717773438,-0.33121076795293086
Austin,78704,Entire home/apt,Apartment,161.0,220.41785,59.4178466796875,3565.07080078125,-0.2695691277940568
Asheville,28801,Entire home/apt,Apartment,50.0,109.27236,59.272361755371094,3556.3417053222656,-0.5424277539462778
Austin,78701,Entire home/apt,Apartment,202.0,261.12173,59.121734619140625,3547.3040771484375,-0.22641445265126126
Austin,78717,Entire home/apt,Apartment,50.0,109.09814,59.09813690185547,3545.888214111328,-0.5416970314994478
Seattle,University District,Entire home/apt,Townhouse,92.0,151.02841,59.028411865234375,3541.7047119140625,-0.39084309459538374
Seattle,Capitol Hill,Entire home/apt,Apartment,70.0,129.01416,59.01416015625,3540.849609375,-0.4574238989330901
Washington D.C.,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Private room,Apartment,50.0,108.996284,58.99628448486328,3539.777069091797,-0.5412687667629287
Austin,78749,Entire home/apt,Apartment,50.0,108.91832,58.91831970214844,3535.0991821289062,-0.5409404025261166
