latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,number_of_reviews,reviews_per_month,review_activity,calculated_host_listings_count,availability_365,availability_ratio,review_scores_rating,data_year,amenity_score,has_luxury_amenities,wifi,kitchen,air_conditioning,parking,pool,gym,pets_allowed,city,neighbourhood,room_type,property_type,instant_bookable,host_is_superhost,actual_price,predicted_price,mispricing_pct,pricing_status
47.61261355218574,-122.34404496465984,2.0,1.5,1.0,1.0,1,0,,0.0,1,365,1.0,,2023,4.5,1,1,1,1,0,0,1,0,Seattle,Pike Place Market,Private room,Apartment,f,f,130.0,122.99591,0.05694570916029208,Fairly Priced
37.7591,-122.44843,,,,,30,20,0.27,0.27,1,0,0.0,,2023,0.0,0,0,0,0,0,0,0,0,San Francisco,Haight Ashbury,Entire home/apt,Apartment,Unknown,Unknown,316.0,162.33873,0.9465471996462835,Overpriced
30.27252,-97.74831,,,,,1,0,,0.0,1,0,0.0,,2020,0.0,0,0,0,0,0,0,0,0,Austin,78701,Private room,Apartment,Unknown,Unknown,850.0,194.93471,3.360434374584401,Overpriced
40.77407,-73.95238,,,,,3,211,3.95,3.95,1,230,0.6301369863013698,,2019,0.0,0,0,0,0,0,0,0,0,New York,Upper East Side,Entire home/apt,Apartment,Unknown,Unknown,125.0,163.32094,-0.23463579473477636,Underpriced
40.68948,-73.93528,,,,,1,0,,0.0,1,0,0.0,,2019,0.0,0,0,0,0,0,0,0,0,New York,Bedford-Stuyvesant,Private room,Apartment,Unknown,Unknown,18.0,62.02502,-0.7097945341079949,Underpriced
30.29021,-97.72079,,,,,3,21,2.75,2.75,1,0,0.0,,2020,0.0,0,0,0,0,0,0,0,0,Austin,78722,Entire home/apt,Apartment,Unknown,Unknown,89.0,133.20625,-0.331863197402462,Underpriced
37.75964,-122.48932,,,,,1,56,1.01,1.01,4,26,0.07123287671232877,,2023,0.0,0,0,0,0,0,0,0,0,San Francisco,Outer Sunset,Private room,Apartment,Unknown,Unknown,95.0,91.41823,0.03918006204114879,Fairly Priced
42.339093859346114,-71.07900523916494,2.0,1.0,1.0,1.0,7,0,,0.0,1,0,0.0,,2023,3.0,0,1,1,1,0,0,0,0,Boston,South End,Private room,Apartment,f,f,60.0,91.43088,-0.3437665532824189,Underpriced
40.6844,-73.8472,,,,,1,2,0.04,0.04,2,364,0.9972602739726028,,2019,0.0,0,0,0,0,0,0,0,0,New York,Ozone Park,Private room,Apartment,Unknown,Unknown,58.0,95.10278,-0.390133516112553,Underpriced
40.70925,-73.85262,,,,,3,28,1.21,1.21,3,209,0.5726027397260274,,2019,0.0,0,0,0,0,0,0,0,0,New York,Forest Hills,Entire home/apt,Apartment,Unknown,Unknown,97.0,144.06845,-0.32670894026162745,Underpriced
