Model,MAE,RMSE,MAPE (%),R2_log,R2_price,Adj_R2
XGBoost (M3 recommended),58.369595148849484,103.02613907411562,34.598884168222774,0.5657589853365865,0.3830060250748313,0.3206271187993571
Random Forest (bagging),58.56646882595025,102.97188348433528,35.295098450530546,0.5494382175473809,0.38365569627297225,0.32134247261422644
Gradient Boosting (sklearn),61.5184355733437,108.49125237527656,36.943443532859455,0.5191889317680762,0.31581189661665465,0.24663957515124602
Linear Regression (M3 baseline),68.94740870938547,227.90340765828685,42.91993614979117,0.418007399598475,-2.019170998794284,-2.324413176866217
Naive segment-median (baseline),71.1927,124.84653078880486,41.29297727352755,0.3197393099806314,0.09397740008394428,0.0023773178457350275
